"Keyword","Type","Volume","KD","Cluster","Article Angle","Priority","Content Target","Status"
"gifts for sneakerheads","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for st patrick's day","Informational","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the film lover","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for weed","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for yoga instructors","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good champagne for gift","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"grad gifts for seniors","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gift ideas for neighbors","Informational","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for boss male","Commercial","390","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"$5 for a $10 dunkin donuts gift card","Informational, Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for 8 year olds","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for the runner","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"breath of the wild a gift for my beloved","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"can you use a visa gift card for gas","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for bakers","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for book lovers","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift guide for moms","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for a med student","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for big","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for engagement party","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for stepfather","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift suggestions for older women","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 1st time parents","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 75 year old woman","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a dad who has everything","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for environmentally conscious","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for expectant mothers","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for formula 1 fans","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for goths","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for makeup lovers","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the new father","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gift for car lovers","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gifts for high school graduates","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"long island school for the gifted","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"mickey mouse gifts for adults","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"name tags for gifts","Transactional","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"tape for wrapping gifts","Transactional","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gift ideas for couples","Commercial","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"what name do i put for a visa gift card","Informational","320","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bachelorette party gifts for guests","Informational","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for a family","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for bike riders","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for 9 year olds","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for photographers","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for writers","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"easter gifts for adult children","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"fun gifts for guys","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift card for thanksgiving","Informational, Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for lawyer","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for newlyweds","Informational, Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for mothers who have everything","Commercial","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for new years","Informational","260","20","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 2 year olds","Commercial","6600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"white elephant gifts everyone will fight for","Informational","3600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"couples gift ideas for xmas","Commercial","2900","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for mature women","Commercial","2900","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for 4 year olds girl","Informational, Commercial","2900","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for teen boys","Commercial","1900","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"education gifts for 3 year olds","Commercial","1900","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 1 year olds","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the coffee lovers","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for your parents","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gift ideas for retirees","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gift for 10-12 year girl","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"xmas gifts for 1 year olds","Commercial","1600","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for cyclists","Commercial","1300","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"memorial gifts for loss of father","Informational","1300","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift bag for large gifts","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for employees","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for techies","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for married couples","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for runners women","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for cancer patients","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for exchange game","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for guys who exercise","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for hairdressers","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for married couples","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for step dads","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for sweet 16","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for the golfer","Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"love for gift","Informational, Commercial","1000","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for new dads","Commercial","880","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"can you use a walmart gift card for walmart gas","Informational","880","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"can you use walmart gift card for gas","Informational","880","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for grandmother","Commercial","880","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift ideas for grandfather","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"can i use a walmart gift card for gas","Informational","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"company gifts for employees","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift envelopes for cash","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for movie lovers","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for nerds","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for uncle","Commercial","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"homemade gift ideas for friends","Informational","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"thank you for the gift card","Informational","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"what gift to buy for someone who has everything","Informational","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"what is a good gift for a house warming party","Informational","720","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for old people","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for golfer","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"easter ideas for gifts","Informational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift card for fashion nova","Navigational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for pregnancy","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for 17 year old boy","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for female boss","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for mother to be","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for new fathers","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift suggestions for couples","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for females under $20","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for people who love to read","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"google play gift card for youtube premium","Informational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for 1 year olds","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for your grandparents","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"how much royal jelly for gifted mythic","Informational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"photo gifts for grandma","Informational, Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"tissue paper for gift","Informational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"top gifts for new mothers","Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique disney gifts for adults","Informational, Commercial","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unusual gift ideas for couples","Informational","590","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"awesome gifts for 6 year olds","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for runners","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for car guys","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for runners","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"funny gifts to give for secret santa","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for grandmother","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for tea lovers","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for 18 year old boy","Informational","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for 8 year olds","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for artist","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for homebodies","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for young couples","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gifts for expecting mothers","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for the guy who has everything","Commercial","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"how to fold tissue paper for gift bag","Informational","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"phone digital accessory gift box easy for your life","Transactional","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"your gift makes room for you","Informational","480","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"awesome gifts for father in law","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best wine for gift","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bible verse for gifts of the holy spirit","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"easy acrylic painting for gift","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"far side midvale school for the gifted","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"funny gifts for a secret santa","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"funny ideas for dirty santa gifts","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift basket ideas for friends","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift baskets for mothers day","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift box for 12 x 8 item nearby","Transactional","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for 18 year old girl","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for new mother","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for the 5 senses","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 70 yr old man","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 9 month old","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for hospital patients","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for magic the gathering players","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for policeman","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for preschool teachers","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for second marriage","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for someone going on a cruise","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gift for artists","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gifts for old men","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for coaches","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"how to make ribbon bows for gifts","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"ideas for hostess gifts for thanksgiving","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"loss of mother gift for daughter","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"luxury gifts for grandma","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"mothers day gift for grandma","Informational, Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"stitch gifts for adults","Informational, Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"thoughtful gifts for boss","Informational, Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for 55 year old woman","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for under $25","Informational, Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique ways of giving money for gift","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"useful gift for 4-year-old boy","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"useful gift for old parents","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"white elephant gift ideas for work","Informational","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"xmas gifts for pregnant","Commercial","390","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for 18 year old boy","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for elderly woman","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cheap gifts for teens","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"easter gifts for teachers","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"funniest gifts for secret santa","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift card for sims","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift card for teachers pay teachers","Navigational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift cards for teen girls","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift certificate ideas for teachers","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for neighbor","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for 60 year old man","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for a masters degree","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for boss lady","Informational, Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for guy friends","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for guys in their 20s","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for walkers","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for 20 year old female college student","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a guy under $50","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for an old man","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for elderly mother","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for magic the gathering","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for male runners","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for memorials","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for new us citizens","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for someone after surgery","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for student teachers","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts under $10 for guys","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gift for white elephant exchange at work","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gift ideas for bakers","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gifts for uncles","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"google play gift cards for youtube premium","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"hostess gift ideas for thanksgiving dinner","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"how to thank someone for a gift","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"ideas for gift cards wrappings","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"mens gifts for under $25","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"mother day gifts for daughters","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"name generator for gift exchange","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"non flower gifts for hospital patients","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"perfect gift for a writer","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"send off gifts for friends","Informational, Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"sentimental gifts for someone who lost a loved one","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"spencer center for gifted and exceptional students","Navigational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"thank you card for gift card","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"top gifts for book lovers","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for female doctors","Informational, Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"weird gifts for secret santa","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"wine aerator decanter gift set what to look for","Commercial","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"xmas gifts for the person who has everything","Informational","320","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"amazon gift card for donating breast milk","Informational","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"batman gifts for guys","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift cards for college students","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for a photographer","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for young lady","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for $20","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for 18 year olds","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for adulting","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for customers","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for teachers end of year","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for the house","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for young moms","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cheap gifts for guys under $5","Informational","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for new grandparents","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"dirty santa gifts for work","Informational","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"end of year gift for students","Commercial","260","21","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
